Ω The vintage OMEGA database Ω The vintage OMEGA database Ω The vintage OMEGA database Ω The vintage OMEGA database Ω The vintage OMEGA database Ω The vintage OMEGA database Ω,,,,,,,,,,,
Case reference,Product line,Case manufactured in,Description,Calendar,Calibre,First year of production,Case type,Case material,Dial,Strap/bracelet,Catalogue reference No
OT 2737 Also some 352RG,Constellation,Switzerland,Guilloche dial,No,354,1952,Faceted spider lugs,18k screwback case,"Guilloche, two tone waffle",,
2699 SC,Constellation,Switzerland,Deluxe Dial . First Pie pan in screw in case,No,354,1952,Lyre-shaped lugs,Screw-in  case 18k,Gold pie pan,,
OT 14355,Constellation,Switzerland,Grand Luxe,No,354,1954,Hooded lugs,18K solid gold,"Gold pie pan arrowhead, cloisonné enamel Geneva observatory",,
OT 2799 (repl. 2699/ 2700),Constellation,Switzerland,De Luxe,No,354,1954,Lyre-shaped lugs,18K solid gold and other metals,"Gold pie pan, gold pie pan arrowhead",,
OT 2954,Constellation,Switzerland,Calendar de Luxe,Yes,504,1957,Lyre-shaped lugs,18K solid gold,"Gold pie pan, silver pie pan, gold dome, silver dome",,
CK 2943,Constellation,Switzerland,Calendar,Yes,504,1957,Lyre-shaped lugs,Stainless steel,"Gold pie pan, silver pie pan, gold dome, silver dome",,
KO 2943,Constellation,Switzerland,Calendar,Yes,504,1957,Lyre-shaped lugs,Gold cap on stainless steel,"Gold pie pan, silver pie pan, gold dome, silver dome",,
2943,Constellation,Switzerland,Calendar,Yes,504,1957,Lyre-shaped lugs,14k & 18k solid gold,"Gold pie pan, silver pie pan, gold dome, silver dome",,
14395,Constellation,Switzerland,Calendar . Earliest Jumbo 37mm screw-in caseback,Yes,504,1958,Lyre-shaped lugs,Gold cap and SS,"Silvered, special",,
14397,Constellation,Switzerland,Calendar. Screw in version of 2943  (Rare),Yes,504,1958,Lyre-shaped lugs,Gold Cap & SS,"Silvered, special",,
14747,Constellation,Switzerland,Calendar. Screw-in version of 2943 (Rare),Yes,504,1958,Lyre-shaped lugs,Gold cap & SS,"Silvered, special",,
18781,Constellation,Switzerland,Calendar Grand Luxe,Yes,504,1958,Hooded lugs,18K gold with 48 diamond bezel,Gold,18K gold,
OT 16995,Constellation,Switzerland,Calendar Grand Luxe,Yes,504,1957,Hooded lugs,18K solid gold,Gold,18K gold,
OT 18747,Constellation,Switzerland,Calendar Grand Luxe Special,Yes,504,1958,Hooded lugs,18k solid gold,Gold,18K gold,
OT 2988,Constellation,Switzerland,Calendar Grand Luxe,Yes,504,1958,Hooded lugs,18K solid gold,Gold,18K gold,
OG 2930,Constellation,Switzerland,Grand Luxe,No,505,1957,Hooded lugs,Solid white gold,Gold,,
OT 2930,Constellation,Switzerland,Grand Luxe,No,505,1957,Hooded lugs,Solid yellow gold,Gold,,
OT 14381,Constellation,Switzerland,"De Luxe, automatic chronometer",No,551,1959,Lyre-shaped lugs,18K gold,solid gold with solid gold hands and applied gold hour-markers,Crocodile with gold buckle,7025
OT 14381,Constellation,Switzerland,Automatic chronometer,No,551,1959,Lyre-shaped lugs,18K gold,Silvered,Crocodile,7035
KO 14381,Constellation,Switzerland,Automatic chronometer,No,551,1959,Lyre-shaped lugs,Gold cap on stainless steel,"Silvered, gold hour markers with black enamel",Leather,7047
CK 14381,Constellation,Switzerland,Automatic chronometer,No,551,1959,Lyre-shaped lugs,Stainless steel,Silvered with applied luminous gold hour-markers,Leather,7055
OJ 14381,Constellation,Switzerland,Lyre-shaped lugs,No,551,1959,Lyre-shaped lugs,14k solid gold,,,
OT 14381,Constellation,Switzerland,Lyre-shaped lugs,No,551,1959,Lyre-shaped lugs,18k solid gold,,,
OT 14382,Constellation,Switzerland,Deluxe version of 14381,No,551,1959,Lyre-shaped lugs,18k solid gold,"Gold pie pan, silver pie pan, gold dome, silver dome",,
CK 14900,Constellation,Switzerland,Genta designed case - dog leg lugs,No,551,1960,Dog leg lugs,Stainless steel,,,
KO 14900,Constellation,Switzerland,Dog Leg lugs,No,551,1960,Dog leg lugs,Gold-cap on stainless steel,,,
OT 14900,Constellation,Switzerland,Dog Leg lugs,No,551,1960,Dog leg lugs,18k solid gold,,,
BA/BD 167.005,Constellation,Switzerland,Dog Leg lugs,No,551,1962,Dog leg lugs,Both 18k yellow and pink gold,"Gold, silvered",,
CD/CE 167.005,Constellation,Switzerland,Dog Leg lugs,No,551,1962,Dog leg lugs,Both yellow and pink gold cap,"Gold, silvered",,
14778,Constellation,Switzerland,Jumbo,No,551,1961-62,Lyre-shaped lugs,Gold Capped,"Gold dome, silvered dome",,
14766,Constellation,Switzerland,Lyre shaped lugs,No,551,1963,Lyre-shaped lugs,Stainless steel and other metals,,,
CK/BA 167.015,Constellation,Switzerland,Monocoque with flat dial,No,551,1967,Monocoque,All metals - uncommon,,,
CK/BA 167.025,Constellation,Switzerland,Monocoque pie pan,No,551,1967,Monocoque,All metals - uncommon,Pie pan,,
OT 16963,Constellation,Switzerland,Calendar Grand Luxe,Yes,561,1959,Hooded lugs,18k solid gold,Gold,18K gold,
14777,Constellation,Switzerland,Jumbo Japanese Market Model (predec. To 168.001),Yes,561,1961-62,Lyre-shaped lugs,SS and Gold Cap (known to date),"Silvered, mattress",,
CK 14902,Constellation,Switzerland,Calendar,Yes,561,1960,Dog leg lugs,Stainless steel,"Pie pan, domed",,
OJ/OT 14902,Constellation,Switzerland,Calendar,Yes,561,1960,Dog leg lugs,Both 14k and 18k Solid gold,"Pie pan, domed",,
OJ/OT 14393,Constellation,Switzerland,Calendar,Yes,561,1960,Lyre-shaped lugs,14k and18K solid gold,,,
OT 14393,Constellation,Switzerland,"De Luxe, calendar",Yes,561,1960,Lyre-shaped lugs,18K gold,Solid gold with applied solid gold hour-markers with onyx inlays,Crocodile with gold buckle,7005
OT 14393,Constellation,Switzerland,Calendar,Yes,561,1960,Lyre-shaped lugs,18K gold,Silvered with applied gold hour-markers,Crocodile,7015
